name,time,nodeid,value
test,1503460994372355840,111,"255,from,10,44,rssi,29,msg,id,235,l,74.09,t,26.29,h,48.31,"
test,1503460995168041984,111,"255,light,75.31,157,temperature,25.61,humidity,47.63,"
test,1503460995374703872,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,26.97,h,47.92,"
test,1503460995677234944,111,"255,from,10,44,rssi,28,msg,id,235,l,73.27,t,26.29,h,48.31,"
test,1503460996473149184,111,"255,light,73.27,158,temperature,25.62,humidity,47.63,"
test,1503460996489145088,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.98,h,47.92,"
test,1503460996966579968,111,"255,from,10,44,rssi,0,msg,id,205,l,49.25,t,26.98,h,47.92,"
test,1503460997062070016,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.30,h,48.31,"
test,1503460997778268928,111,"255,light,74.49,160,temperature,25.63,humidity,47.63,"
test,1503460998048791808,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.98,h,47.92,"
test,1503460998605801216,111,"255,from,10,44,rssi,0,msg,id,205,l,49.25,t,26.98,h,47.89,"
test,1503460999099225088,111,"255,light,74.90,159,temperature,25.65,humidity,47.60,"
test,1503460999322072064,111,"255,from,10,44,rssi,0,msg,id,205,l,48.85,t,26.98,h,47.99,"
test,1503460999592730112,111,"255,from,10,44,rssi,29,msg,id,235,l,74.49,t,26.31,h,48.31,"
test,1503461000420284928,111,"255,light,73.68,157,temperature,25.66,humidity,47.60,"
test,1503461000881891072,111,"255,from,10,44,rssi,29,msg,id,235,l,74.90,t,26.33,h,48.28,"
test,1503461000913674240,111,"255,from,10,44,rssi,0,msg,id,205,l,48.44,t,27.01,h,48.12,"
test,1503461001740402944,111,"255,light,74.49,162,temperature,25.68,humidity,47.57,"
test,1503461001740510976,111,"255,from,10,44,rssi,0,msg,id,205,l,49.25,t,27.01,h,48.18,"
test,1503461002186050048,111,"255,from,10,44,rssi,29,msg,id,235,l,73.68,t,26.33,h,48.25,"
test,1503461002488430080,111,"255,from,10,44,rssi,-1,msg,id,205,l,48.85,t,26.98,h,48.22,"
